"cell","flow","bin","recruit"
2,1250,"bin_2",0.559030357142857
15,1750,"bin_3",0.635644
17,4000,"bin_7",0.406575
20,1000,"bin_1",0.340428866053464
24,3057,"bin_6",0.688666666666667
25,2000,"bin_3",0.635644
37,1346,"bin_2",0.559030357142857
43,1052,"bin_2",0.559030357142857
45,1724,"bin_3",0.635644
46,2000,"bin_3",0.635644
60,3619,"bin_7",0.406575
64,3315,"bin_6",0.688666666666667
65,2000,"bin_3",0.635644
66,2404,"bin_4",0.6285
67,1427,"bin_2",0.559030357142857
72,1115,"bin_2",0.559030357142857
86,2671,"bin_5",0.5377
87,1399,"bin_2",0.559030357142857
98,1077,"bin_2",0.559030357142857
99,2931,"bin_5",0.5377
100,1000,"bin_1",0.340428866053464
101,2777,"bin_5",0.5377
103,2752,"bin_5",0.5377
104,3092,"bin_6",0.688666666666667
109,3000,"bin_5",0.5377
118,3625,"bin_7",0.406575
119,1696,"bin_3",0.635644
120,1987,"bin_3",0.635644
128,1975,"bin_3",0.635644
131,1000,"bin_1",0.340428866053464
132,1362,"bin_2",0.559030357142857
133,1322,"bin_2",0.559030357142857
134,1237,"bin_2",0.559030357142857
137,3290,"bin_6",0.688666666666667
141,3945,"bin_7",0.406575
145,1589,"bin_3",0.635644
148,1384,"bin_2",0.559030357142857
156,1733,"bin_3",0.635644
175,1250,"bin_2",0.559030357142857
181,1250,"bin_2",0.559030357142857
186,1061,"bin_2",0.559030357142857
190,1750,"bin_3",0.635644
191,1250,"bin_2",0.559030357142857
196,1000,"bin_1",0.340428866053464
197,1000,"bin_1",0.340428866053464
207,2700,"bin_5",0.5377
215,1567,"bin_3",0.635644
216,2652,"bin_5",0.5377
217,1751,"bin_3",0.635644
218,1706,"bin_3",0.635644
220,2175,"bin_4",0.6285
225,1500,"bin_2",0.559030357142857
226,2000,"bin_3",0.635644
232,1000,"bin_1",0.340428866053464
235,4000,"bin_7",0.406575
239,1377,"bin_2",0.559030357142857
241,2372,"bin_4",0.6285
244,3419,"bin_6",0.688666666666667
245,1000,"bin_1",0.340428866053464
246,1166,"bin_2",0.559030357142857
248,2000,"bin_3",0.635644
249,1246,"bin_2",0.559030357142857
251,1000,"bin_1",0.340428866053464
270,1006,"bin_2",0.559030357142857
275,1169,"bin_2",0.559030357142857
280,2432,"bin_4",0.6285
284,2629,"bin_5",0.5377
285,1981,"bin_3",0.635644
291,2059,"bin_4",0.6285
294,3000,"bin_5",0.5377
295,3301,"bin_6",0.688666666666667
296,2088,"bin_4",0.6285
305,2327,"bin_4",0.6285
306,2000,"bin_3",0.635644
307,1750,"bin_3",0.635644
308,1672,"bin_3",0.635644
311,1641,"bin_3",0.635644
317,2910,"bin_5",0.5377
318,1250,"bin_2",0.559030357142857
322,1000,"bin_1",0.340428866053464
323,1000,"bin_1",0.340428866053464
324,1500,"bin_2",0.559030357142857
325,1000,"bin_1",0.340428866053464
330,3792,"bin_7",0.406575
332,1304,"bin_2",0.559030357142857
333,1000,"bin_1",0.340428866053464
343,1000,"bin_1",0.340428866053464
344,1368,"bin_2",0.559030357142857
349,4000,"bin_7",0.406575
366,1028,"bin_2",0.559030357142857
368,1365,"bin_2",0.559030357142857
370,1051,"bin_2",0.559030357142857
371,1250,"bin_2",0.559030357142857
372,2323,"bin_4",0.6285
373,2273,"bin_4",0.6285
374,1176,"bin_2",0.559030357142857
376,1360,"bin_2",0.559030357142857
380,3211,"bin_6",0.688666666666667
381,3000,"bin_5",0.5377
383,1923,"bin_3",0.635644
385,3771,"bin_7",0.406575
386,3904,"bin_7",0.406575
387,1000,"bin_1",0.340428866053464
397,1536,"bin_3",0.635644
398,2025,"bin_4",0.6285
399,2000,"bin_3",0.635644
409,2026,"bin_4",0.6285
412,1232,"bin_2",0.559030357142857
414,1000,"bin_1",0.340428866053464
417,3000,"bin_5",0.5377
424,2749,"bin_5",0.5377
425,1250,"bin_2",0.559030357142857
426,3484,"bin_6",0.688666666666667
427,2000,"bin_3",0.635644
428,1737,"bin_3",0.635644
431,2000,"bin_3",0.635644
432,2000,"bin_3",0.635644
433,1280,"bin_2",0.559030357142857
435,1000,"bin_1",0.340428866053464
436,1500,"bin_2",0.559030357142857
437,1000,"bin_1",0.340428866053464
447,2026,"bin_4",0.6285
449,1250,"bin_2",0.559030357142857
454,1044,"bin_2",0.559030357142857
459,1274,"bin_2",0.559030357142857
461,1036,"bin_2",0.559030357142857
463,1750,"bin_3",0.635644
464,2495,"bin_4",0.6285
468,2073,"bin_4",0.6285
469,2447,"bin_4",0.6285
472,4000,"bin_7",0.406575
473,4000,"bin_7",0.406575
474,3000,"bin_5",0.5377
478,3810,"bin_7",0.406575
479,2605,"bin_5",0.5377
480,1000,"bin_1",0.340428866053464
489,1048,"bin_2",0.559030357142857
490,1827,"bin_3",0.635644
491,2177,"bin_4",0.6285
492,2455,"bin_4",0.6285
493,1000,"bin_1",0.340428866053464
499,2269,"bin_4",0.6285
500,1979,"bin_3",0.635644
502,3272,"bin_6",0.688666666666667
503,2000,"bin_3",0.635644
507,1000,"bin_1",0.340428866053464
510,3000,"bin_5",0.5377
511,4000,"bin_7",0.406575
512,4000,"bin_7",0.406575
513,3000,"bin_5",0.5377
517,2851,"bin_5",0.5377
518,1250,"bin_2",0.559030357142857
519,3009,"bin_6",0.688666666666667
520,1000,"bin_1",0.340428866053464
521,1735,"bin_3",0.635644
524,1695,"bin_3",0.635644
526,1000,"bin_1",0.340428866053464
528,1000,"bin_1",0.340428866053464
548,1250,"bin_2",0.559030357142857
549,1030,"bin_2",0.559030357142857
556,1146,"bin_2",0.559030357142857
557,2589,"bin_5",0.5377
560,1084,"bin_2",0.559030357142857
561,1500,"bin_2",0.559030357142857
562,2854,"bin_5",0.5377
565,1154,"bin_2",0.559030357142857
566,2720,"bin_5",0.5377
569,2513,"bin_5",0.5377
570,3591,"bin_7",0.406575
571,3124,"bin_6",0.688666666666667
572,1225,"bin_2",0.559030357142857
575,1112,"bin_2",0.559030357142857
584,2611,"bin_5",0.5377
585,3059,"bin_6",0.688666666666667
586,2188,"bin_4",0.6285
593,2211,"bin_4",0.6285
595,1324,"bin_2",0.559030357142857
596,1682,"bin_3",0.635644
598,1000,"bin_1",0.340428866053464
602,1000,"bin_1",0.340428866053464
603,3000,"bin_5",0.5377
607,4000,"bin_7",0.406575
608,4000,"bin_7",0.406575
613,2599,"bin_5",0.5377
617,1700,"bin_3",0.635644
619,3374,"bin_6",0.688666666666667
620,3725,"bin_7",0.406575
625,1116,"bin_2",0.559030357142857
645,1123,"bin_2",0.559030357142857
650,1250,"bin_2",0.559030357142857
651,2182,"bin_4",0.6285
653,1090,"bin_2",0.559030357142857
655,2551,"bin_5",0.5377
656,1250,"bin_2",0.559030357142857
659,4000,"bin_7",0.406575
660,1250,"bin_2",0.559030357142857
661,1250,"bin_2",0.559030357142857
662,1500,"bin_2",0.559030357142857
663,3000,"bin_5",0.5377
664,3628,"bin_7",0.406575
665,2912,"bin_5",0.5377
666,1548,"bin_3",0.635644
677,1422,"bin_2",0.559030357142857
678,4000,"bin_7",0.406575
686,1713,"bin_3",0.635644
689,1948,"bin_3",0.635644
694,1000,"bin_1",0.340428866053464
695,1000,"bin_1",0.340428866053464
700,4000,"bin_7",0.406575
702,4000,"bin_7",0.406575
704,3483,"bin_6",0.688666666666667
707,3307,"bin_6",0.688666666666667
714,3151,"bin_6",0.688666666666667
718,1000,"bin_1",0.340428866053464
733,1750,"bin_3",0.635644
736,1250,"bin_2",0.559030357142857
739,1319,"bin_2",0.559030357142857
746,1044,"bin_2",0.559030357142857
748,2857,"bin_5",0.5377
750,1235,"bin_2",0.559030357142857
752,1250,"bin_2",0.559030357142857
753,4000,"bin_7",0.406575
754,1500,"bin_2",0.559030357142857
755,1216,"bin_2",0.559030357142857
758,1500,"bin_2",0.559030357142857
