"","cell","natural","current_operations","combined_operations","combined_operations_AWSA","x","y","z"
"8232",10418,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509130,742571,4625
"8233",10419,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509131,742561,4625
"8234",10420,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509128,742611,4627
"8235",10421,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509123,742598,4627
"8236",10422,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509128,742591,4626
"8237",10423,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509123,742578,4624
"8238",10424,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509158,742636,4628
"8239",10425,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509149,742631,4627
"8240",10426,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509140,742627,4627
"8241",10427,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509132,742622,4627
"8242",10428,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509123,742618,4627
"8243",10429,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509164,742650,4627
"8244",10430,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509178,742668,4627
"8245",10431,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509169,742663,4627
"8246",10432,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509185,742680,4626
"8247",10433,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509191,742691,4626
"8248",10434,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509198,742704,4626
"8249",10435,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509213,742719,4625
"8250",10436,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509204,742716,4625
"8251",10437,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509220,742731,4624
"8252",10438,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509226,742744,4623
"8253",10439,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509232,742756,4624
"8254",10440,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509237,742769,4623
"8255",10441,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509243,742779,4624
"8256",10442,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509246,742789,4629
"8257",10443,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509269,742805,4630
"8258",10444,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509258,742802,4629
"8259",10445,0.144756796882426,0.156197039073238,0.144481212847033,0.144200601913057,2509248,742799,4629
"8260",10446,0.202230995152552,0.219784794816415,0.203339684993649,0.202976642559038,2509294,742821,4629
"8261",10447,0.202230995152552,0.219784794816415,0.203339684993649,0.202976642559038,2509283,742818,4629
"8262",10448,0.078407119095143,0.0875707755743177,0.0778444463799673,0.0778224895663219,2509274,742814,4630
"8263",10449,0.202230995152552,0.219784794816415,0.203339684993649,0.202976642559038,2509295,742830,4629
"8264",10450,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509306,742844,4630
"8265",10451,0.202230995152552,0.219784794816415,0.203339684993649,0.202976642559038,2509296,742840,4629
"8266",10452,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509304,742853,4629
"8267",10453,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509304,742884,4630
"8268",10454,0.578830717475148,0.588210868306639,0.582349621860656,0.582587531980195,2509302,742873,4630
"8269",10455,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509303,742863,4629
"8270",10456,0.144756796882426,0.156197039073238,0.144481212847033,0.144200601913057,2509308,742896,4630
"8271",10457,0.144756796882426,0.156197039073238,0.144481212847033,0.144200601913057,2509311,742907,4631
"8272",10458,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509324,742921,4630
"8273",10459,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509312,742919,4630
"8274",10460,0.309847926806486,0.330185396482567,0.313449960442751,0.313639217409337,2509326,742933,4629
