"cell","flow","bin","recruit"
115,2500,"bin_4","0.144481212847033"
116,4000,"bin_7","0.0585845182362548"
142,3500,"bin_6","0.0778444463799673"
143,1500,"bin_2","0.313449960442751"
144,1000,"bin_1","0.582349621860656"
145,1000,"bin_1","0.582349621860656"
146,2000,"bin_3","0.203339684993649"
147,1000,"bin_1","0.582349621860656"
148,1000,"bin_1","0.582349621860656"
149,1000,"bin_1","0.582349621860656"
150,1000,"bin_1","0.582349621860656"
151,1000,"bin_1","0.582349621860656"
174,1000,"bin_1","0.582349621860656"
175,1000,"bin_1","0.582349621860656"
176,1000,"bin_1","0.582349621860656"
177,1000,"bin_1","0.582349621860656"
178,1000,"bin_1","0.582349621860656"
179,1000,"bin_1","0.582349621860656"
180,1000,"bin_1","0.582349621860656"
181,1000,"bin_1","0.582349621860656"
182,1000,"bin_1","0.582349621860656"
183,1000,"bin_1","0.582349621860656"
184,1000,"bin_1","0.582349621860656"
185,1000,"bin_1","0.582349621860656"
186,1000,"bin_1","0.582349621860656"
187,1000,"bin_1","0.582349621860656"
188,1000,"bin_1","0.582349621860656"
189,1000,"bin_1","0.582349621860656"
190,1000,"bin_1","0.582349621860656"
191,1000,"bin_1","0.582349621860656"
192,1000,"bin_1","0.582349621860656"
193,1000,"bin_1","0.582349621860656"
194,2500,"bin_4","0.144481212847033"
215,1000,"bin_1","0.582349621860656"
217,1000,"bin_1","0.582349621860656"
218,1000,"bin_1","0.582349621860656"
219,1000,"bin_1","0.582349621860656"
220,1000,"bin_1","0.582349621860656"
221,1000,"bin_1","0.582349621860656"
222,1000,"bin_1","0.582349621860656"
223,1000,"bin_1","0.582349621860656"
224,1000,"bin_1","0.582349621860656"
225,1000,"bin_1","0.582349621860656"
226,1000,"bin_1","0.582349621860656"
227,1000,"bin_1","0.582349621860656"
228,1000,"bin_1","0.582349621860656"
229,1000,"bin_1","0.582349621860656"
230,1000,"bin_1","0.582349621860656"
231,1000,"bin_1","0.582349621860656"
232,1000,"bin_1","0.582349621860656"
233,1000,"bin_1","0.582349621860656"
234,1000,"bin_1","0.582349621860656"
235,3500,"bin_6","0.0778444463799673"
236,1000,"bin_1","0.582349621860656"
237,1000,"bin_1","0.582349621860656"
238,1000,"bin_1","0.582349621860656"
239,1000,"bin_1","0.582349621860656"
261,1000,"bin_1","0.582349621860656"
262,1000,"bin_1","0.582349621860656"
263,1000,"bin_1","0.582349621860656"
264,1000,"bin_1","0.582349621860656"
265,1000,"bin_1","0.582349621860656"
266,1000,"bin_1","0.582349621860656"
267,1000,"bin_1","0.582349621860656"
268,1000,"bin_1","0.582349621860656"
269,1000,"bin_1","0.582349621860656"
270,1000,"bin_1","0.582349621860656"
271,1000,"bin_1","0.582349621860656"
272,1000,"bin_1","0.582349621860656"
273,1000,"bin_1","0.582349621860656"
274,1000,"bin_1","0.582349621860656"
275,1000,"bin_1","0.582349621860656"
276,1000,"bin_1","0.582349621860656"
277,1000,"bin_1","0.582349621860656"
278,1000,"bin_1","0.582349621860656"
279,1000,"bin_1","0.582349621860656"
280,3500,"bin_6","0.0778444463799673"
281,2500,"bin_4","0.144481212847033"
284,1000,"bin_1","0.582349621860656"
285,1000,"bin_1","0.582349621860656"
286,1000,"bin_1","0.582349621860656"
287,1000,"bin_1","0.582349621860656"
308,3500,"bin_6","0.0778444463799673"
310,1000,"bin_1","0.582349621860656"
311,1000,"bin_1","0.582349621860656"
312,1000,"bin_1","0.582349621860656"
313,1000,"bin_1","0.582349621860656"
314,1000,"bin_1","0.582349621860656"
315,1000,"bin_1","0.582349621860656"
316,1000,"bin_1","0.582349621860656"
317,1000,"bin_1","0.582349621860656"
318,1000,"bin_1","0.582349621860656"
319,1000,"bin_1","0.582349621860656"
320,1000,"bin_1","0.582349621860656"
321,1000,"bin_1","0.582349621860656"
322,1000,"bin_1","0.582349621860656"
323,1000,"bin_1","0.582349621860656"
324,1500,"bin_2","0.313449960442751"
325,1500,"bin_2","0.313449960442751"
326,1500,"bin_2","0.313449960442751"
327,1500,"bin_2","0.313449960442751"
328,1500,"bin_2","0.313449960442751"
329,4000,"bin_7","0.0585845182362548"
330,3000,"bin_5","0.108854865541644"
331,2000,"bin_3","0.203339684993649"
332,4000,"bin_7","0.0585845182362548"
333,4000,"bin_7","0.0585845182362548"
335,1000,"bin_1","0.582349621860656"
336,1000,"bin_1","0.582349621860656"
337,1000,"bin_1","0.582349621860656"
338,1000,"bin_1","0.582349621860656"
359,1000,"bin_1","0.582349621860656"
360,1000,"bin_1","0.582349621860656"
361,1000,"bin_1","0.582349621860656"
362,1000,"bin_1","0.582349621860656"
363,1000,"bin_1","0.582349621860656"
364,1000,"bin_1","0.582349621860656"
365,1000,"bin_1","0.582349621860656"
366,1000,"bin_1","0.582349621860656"
367,1000,"bin_1","0.582349621860656"
368,1000,"bin_1","0.582349621860656"
369,1000,"bin_1","0.582349621860656"
370,1000,"bin_1","0.582349621860656"
371,1500,"bin_2","0.313449960442751"
372,1500,"bin_2","0.313449960442751"
373,1000,"bin_1","0.582349621860656"
374,2000,"bin_3","0.203339684993649"
375,2000,"bin_3","0.203339684993649"
376,1500,"bin_2","0.313449960442751"
377,1500,"bin_2","0.313449960442751"
378,1500,"bin_2","0.313449960442751"
379,1500,"bin_2","0.313449960442751"
380,3000,"bin_5","0.108854865541644"
381,3000,"bin_5","0.108854865541644"
382,3000,"bin_5","0.108854865541644"
383,2000,"bin_3","0.203339684993649"
384,3500,"bin_6","0.0778444463799673"
385,3500,"bin_6","0.0778444463799673"
386,4000,"bin_7","0.0585845182362548"
387,1000,"bin_1","0.582349621860656"
388,1000,"bin_1","0.582349621860656"
389,1000,"bin_1","0.582349621860656"
390,1000,"bin_1","0.582349621860656"
405,4000,"bin_7","0.0585845182362548"
406,1000,"bin_1","0.582349621860656"
407,3500,"bin_6","0.0778444463799673"
410,1000,"bin_1","0.582349621860656"
411,1000,"bin_1","0.582349621860656"
412,1000,"bin_1","0.582349621860656"
413,1000,"bin_1","0.582349621860656"
414,1000,"bin_1","0.582349621860656"
415,1000,"bin_1","0.582349621860656"
416,1000,"bin_1","0.582349621860656"
417,1000,"bin_1","0.582349621860656"
418,1000,"bin_1","0.582349621860656"
419,1000,"bin_1","0.582349621860656"
420,2000,"bin_3","0.203339684993649"
421,1500,"bin_2","0.313449960442751"
422,1500,"bin_2","0.313449960442751"
423,3000,"bin_5","0.108854865541644"
424,2000,"bin_3","0.203339684993649"
425,2500,"bin_4","0.144481212847033"
426,3500,"bin_6","0.0778444463799673"
427,3000,"bin_5","0.108854865541644"
428,1500,"bin_2","0.313449960442751"
429,2000,"bin_3","0.203339684993649"
430,1500,"bin_2","0.313449960442751"
431,3500,"bin_6","0.0778444463799673"
432,3500,"bin_6","0.0778444463799673"
433,3000,"bin_5","0.108854865541644"
434,3000,"bin_5","0.108854865541644"
435,3000,"bin_5","0.108854865541644"
436,3500,"bin_6","0.0778444463799673"
437,3500,"bin_6","0.0778444463799673"
438,3500,"bin_6","0.0778444463799673"
439,4000,"bin_7","0.0585845182362548"
440,1000,"bin_1","0.582349621860656"
441,1000,"bin_1","0.582349621860656"
442,1000,"bin_1","0.582349621860656"
443,1000,"bin_1","0.582349621860656"
458,1000,"bin_1","0.582349621860656"
459,1000,"bin_1","0.582349621860656"
460,1000,"bin_1","0.582349621860656"
465,1000,"bin_1","0.582349621860656"
466,1000,"bin_1","0.582349621860656"
467,1000,"bin_1","0.582349621860656"
468,1000,"bin_1","0.582349621860656"
469,1000,"bin_1","0.582349621860656"
470,2000,"bin_3","0.203339684993649"
471,1000,"bin_1","0.582349621860656"
472,1500,"bin_2","0.313449960442751"
473,1000,"bin_1","0.582349621860656"
474,1000,"bin_1","0.582349621860656"
475,3000,"bin_5","0.108854865541644"
476,1500,"bin_2","0.313449960442751"
477,2000,"bin_3","0.203339684993649"
478,2500,"bin_4","0.144481212847033"
479,2500,"bin_4","0.144481212847033"
480,3500,"bin_6","0.0778444463799673"
481,4000,"bin_7","0.0585845182362548"
482,4000,"bin_7","0.0585845182362548"
483,3000,"bin_5","0.108854865541644"
484,1500,"bin_2","0.313449960442751"
485,2000,"bin_3","0.203339684993649"
487,3500,"bin_6","0.0778444463799673"
488,4000,"bin_7","0.0585845182362548"
489,4000,"bin_7","0.0585845182362548"
490,3500,"bin_6","0.0778444463799673"
491,3000,"bin_5","0.108854865541644"
492,4000,"bin_7","0.0585845182362548"
493,4000,"bin_7","0.0585845182362548"
494,3500,"bin_6","0.0778444463799673"
495,3500,"bin_6","0.0778444463799673"
496,3500,"bin_6","0.0778444463799673"
498,1000,"bin_1","0.582349621860656"
499,1000,"bin_1","0.582349621860656"
500,1000,"bin_1","0.582349621860656"
501,1000,"bin_1","0.582349621860656"
516,1000,"bin_1","0.582349621860656"
517,1000,"bin_1","0.582349621860656"
518,1000,"bin_1","0.582349621860656"
525,1000,"bin_1","0.582349621860656"
526,1000,"bin_1","0.582349621860656"
527,1000,"bin_1","0.582349621860656"
528,1000,"bin_1","0.582349621860656"
529,1000,"bin_1","0.582349621860656"
530,1000,"bin_1","0.582349621860656"
531,2000,"bin_3","0.203339684993649"
532,1000,"bin_1","0.582349621860656"
533,1000,"bin_1","0.582349621860656"
534,1000,"bin_1","0.582349621860656"
535,3000,"bin_5","0.108854865541644"
536,1000,"bin_1","0.582349621860656"
537,1000,"bin_1","0.582349621860656"
538,2000,"bin_3","0.203339684993649"
539,2500,"bin_4","0.144481212847033"
541,2500,"bin_4","0.144481212847033"
542,2500,"bin_4","0.144481212847033"
543,2500,"bin_4","0.144481212847033"
544,3500,"bin_6","0.0778444463799673"
545,3500,"bin_6","0.0778444463799673"
547,4000,"bin_7","0.0585845182362548"
548,3500,"bin_6","0.0778444463799673"
556,4000,"bin_7","0.0585845182362548"
557,3500,"bin_6","0.0778444463799673"
558,3500,"bin_6","0.0778444463799673"
561,1500,"bin_2","0.313449960442751"
562,1000,"bin_1","0.582349621860656"
563,1000,"bin_1","0.582349621860656"
564,4000,"bin_7","0.0585845182362548"
581,1000,"bin_1","0.582349621860656"
582,1000,"bin_1","0.582349621860656"
583,1000,"bin_1","0.582349621860656"
587,1000,"bin_1","0.582349621860656"
588,1500,"bin_2","0.313449960442751"
589,1000,"bin_1","0.582349621860656"
590,1000,"bin_1","0.582349621860656"
591,1000,"bin_1","0.582349621860656"
592,1000,"bin_1","0.582349621860656"
593,1000,"bin_1","0.582349621860656"
594,1000,"bin_1","0.582349621860656"
595,1000,"bin_1","0.582349621860656"
596,1000,"bin_1","0.582349621860656"
597,1000,"bin_1","0.582349621860656"
598,1000,"bin_1","0.582349621860656"
599,1000,"bin_1","0.582349621860656"
600,1000,"bin_1","0.582349621860656"
601,1000,"bin_1","0.582349621860656"
602,2500,"bin_4","0.144481212847033"
603,1000,"bin_1","0.582349621860656"
604,2000,"bin_3","0.203339684993649"
605,2000,"bin_3","0.203339684993649"
606,2000,"bin_3","0.203339684993649"
607,2000,"bin_3","0.203339684993649"
608,2500,"bin_4","0.144481212847033"
609,2500,"bin_4","0.144481212847033"
610,2500,"bin_4","0.144481212847033"
611,3000,"bin_5","0.108854865541644"
614,4000,"bin_7","0.0585845182362548"
615,3000,"bin_5","0.108854865541644"
624,3500,"bin_6","0.0778444463799673"
625,3500,"bin_6","0.0778444463799673"
626,3500,"bin_6","0.0778444463799673"
629,4000,"bin_7","0.0585845182362548"
630,1000,"bin_1","0.582349621860656"
631,1000,"bin_1","0.582349621860656"
632,1000,"bin_1","0.582349621860656"
633,1000,"bin_1","0.582349621860656"
648,1000,"bin_1","0.582349621860656"
650,1000,"bin_1","0.582349621860656"
651,1000,"bin_1","0.582349621860656"
652,1000,"bin_1","0.582349621860656"
653,1000,"bin_1","0.582349621860656"
654,1000,"bin_1","0.582349621860656"
655,1000,"bin_1","0.582349621860656"
656,1000,"bin_1","0.582349621860656"
657,1000,"bin_1","0.582349621860656"
658,1000,"bin_1","0.582349621860656"
659,1000,"bin_1","0.582349621860656"
660,1000,"bin_1","0.582349621860656"
661,1000,"bin_1","0.582349621860656"
662,1000,"bin_1","0.582349621860656"
663,1000,"bin_1","0.582349621860656"
664,1000,"bin_1","0.582349621860656"
665,1000,"bin_1","0.582349621860656"
666,1000,"bin_1","0.582349621860656"
667,1000,"bin_1","0.582349621860656"
668,1000,"bin_1","0.582349621860656"
669,2000,"bin_3","0.203339684993649"
670,1000,"bin_1","0.582349621860656"
671,1000,"bin_1","0.582349621860656"
672,1000,"bin_1","0.582349621860656"
673,1000,"bin_1","0.582349621860656"
675,1000,"bin_1","0.582349621860656"
676,1500,"bin_2","0.313449960442751"
677,1000,"bin_1","0.582349621860656"
678,1500,"bin_2","0.313449960442751"
679,1500,"bin_2","0.313449960442751"
680,2000,"bin_3","0.203339684993649"
681,2500,"bin_4","0.144481212847033"
682,2500,"bin_4","0.144481212847033"
683,2000,"bin_3","0.203339684993649"
684,2500,"bin_4","0.144481212847033"
685,2000,"bin_3","0.203339684993649"
686,2000,"bin_3","0.203339684993649"
689,3000,"bin_5","0.108854865541644"
699,3500,"bin_6","0.0778444463799673"
700,3500,"bin_6","0.0778444463799673"
701,3500,"bin_6","0.0778444463799673"
704,1000,"bin_1","0.582349621860656"
705,1000,"bin_1","0.582349621860656"
706,1000,"bin_1","0.582349621860656"
707,1000,"bin_1","0.582349621860656"
724,1000,"bin_1","0.582349621860656"
725,1000,"bin_1","0.582349621860656"
726,1000,"bin_1","0.582349621860656"
727,2500,"bin_4","0.144481212847033"
728,1000,"bin_1","0.582349621860656"
729,1000,"bin_1","0.582349621860656"
730,1000,"bin_1","0.582349621860656"
731,1000,"bin_1","0.582349621860656"
732,1000,"bin_1","0.582349621860656"
733,1000,"bin_1","0.582349621860656"
734,1000,"bin_1","0.582349621860656"
735,1000,"bin_1","0.582349621860656"
736,1000,"bin_1","0.582349621860656"
737,1000,"bin_1","0.582349621860656"
739,2000,"bin_3","0.203339684993649"
