"","Recruit"
"bin_1",0.331470854700855
"bin_2",0.220131873111782
"bin_3",0.207674906367041
"bin_4",0.460765263157895
"bin_5",0.240309615384615
"bin_6",0.471658823529412
"bin_7",0.0494214285714286
"bin_8",0.128766666666667
