"cell","flow","bin","recruit_q","recruit"
2,200,"bin_1","NaN","0"
3,200,"bin_1","NaN","0"
4,200,"bin_1","NaN","0"
5,200,"bin_1","NaN","0"
6,200,"bin_1","NaN","0"
7,200,"bin_1","NaN","0"
8,200,"bin_1","NaN","0"
9,1000,"bin_9","NaN","0"
10,200,"bin_1","NaN","0"
11,200,"bin_1","NaN","0"
12,200,"bin_1","NaN","0"
13,200,"bin_1","NaN","0"
14,200,"bin_1","NaN","0"
17,1500,"bin_10","NaN","0"
18,200,"bin_1","NaN","0"
19,500,"bin_8","NaN","0"
20,1000,"bin_9","NaN","0"
21,1000,"bin_9","NaN","0"
23,400,"bin_7","NaN","0"
24,350,"bin_6","NaN","0"
25,200,"bin_1","NaN","0"
26,200,"bin_1","NaN","0"
27,200,"bin_1","NaN","0"
28,200,"bin_1","NaN","0"
29,200,"bin_1","NaN","0"
35,200,"bin_1","NaN","0"
36,200,"bin_1","NaN","0"
37,200,"bin_1","NaN","0"
38,500,"bin_8","NaN","0"
39,225,"bin_2","NaN","0"
40,300,"bin_5","NaN","0"
41,1000,"bin_9","NaN","0"
42,350,"bin_6","NaN","0"
43,350,"bin_6","NaN","0"
44,350,"bin_6","NaN","0"
45,1000,"bin_9","NaN","0"
46,200,"bin_1","NaN","0"
47,200,"bin_1","NaN","0"
48,200,"bin_1","NaN","0"
49,200,"bin_1","NaN","0"
50,200,"bin_1","NaN","0"
51,200,"bin_1","NaN","0"
52,200,"bin_1","NaN","0"
53,1000,"bin_9","NaN","0"
54,1000,"bin_9","NaN","0"
55,1000,"bin_9","NaN","0"
56,1000,"bin_9","NaN","0"
63,200,"bin_1","NaN","0"
64,200,"bin_1","NaN","0"
69,500,"bin_8","NaN","0"
70,500,"bin_8","NaN","0"
71,1000,"bin_9","NaN","0"
72,1000,"bin_9","NaN","0"
73,200,"bin_1","NaN","0"
74,400,"bin_7","NaN","0"
75,400,"bin_7","NaN","0"
80,400,"bin_7","NaN","0"
81,200,"bin_1","NaN","0"
82,200,"bin_1","NaN","0"
83,200,"bin_1","NaN","0"
84,250,"bin_3","NaN","0"
85,200,"bin_1","NaN","0"
91,200,"bin_1","NaN","0"
92,200,"bin_1","NaN","0"
93,200,"bin_1","NaN","0"
94,1000,"bin_9","NaN","0"
95,1000,"bin_9","NaN","0"
96,1000,"bin_9","NaN","0"
97,1000,"bin_9","NaN","0"
98,1000,"bin_9","NaN","0"
99,1000,"bin_9","NaN","0"
100,1000,"bin_9","NaN","0"
123,200,"bin_1","NaN","0"
124,200,"bin_1","NaN","0"
125,200,"bin_1","NaN","0"
129,200,"bin_1","NaN","0"
133,1000,"bin_9","NaN","0"
134,1000,"bin_9","NaN","0"
135,200,"bin_1","NaN","0"
136,200,"bin_1","NaN","0"
137,200,"bin_1","NaN","0"
138,200,"bin_1","NaN","0"
139,200,"bin_1","NaN","0"
140,200,"bin_1","NaN","0"
141,200,"bin_1","NaN","0"
142,200,"bin_1","NaN","0"
143,200,"bin_1","NaN","0"
144,200,"bin_1","NaN","0"
145,400,"bin_7","NaN","0"
146,200,"bin_1","NaN","0"
147,200,"bin_1","NaN","0"
148,200,"bin_1","NaN","0"
149,200,"bin_1","NaN","0"
150,200,"bin_1","NaN","0"
151,200,"bin_1","NaN","0"
152,200,"bin_1","NaN","0"
153,200,"bin_1","NaN","0"
154,200,"bin_1","NaN","0"
155,200,"bin_1","NaN","0"
156,1000,"bin_9","NaN","0"
