"","P(R)","P(R|q)"
"bin_1",0.340060241271741,0.510624615384615
"bin_2",0.276786966715289,0.510324262295082
"bin_3",0.228302551255679,0.511341682242991
"bin_4",0.186233405374762,0.508679518072289
"bin_5",0.154254563628152,0.50914045112782
"bin_6",0.10001623378292,0.511147246376812
"bin_7",0.0605462018209346,0.511129795918367
"bin_8",0.179528616799013,0.511831310344828
"bin_9",0.208956291268388,0.5535312
"bin_10",0.221539129352075,0.691636666666667
"bin_11",0.227489113364424,0.717916363636364
"bin_12",0.231065445340513,0.737171428571429
"bin_13",0.234212346492727,0.74132
"bin_14",0.236122324257029,0.72682
"bin_15",0.241685030029122,0.598232727272727
