"","P(R)","P(R|q)"
"bin_1",0.524144180725227,0.511286390532544
"bin_2",0.475456958883182,0.509509918699187
"bin_3",0.433829871956613,0.511488666666667
"bin_4",0.3961352890143,0.510283495145631
"bin_5",0.363459117092195,0.509520303030303
"bin_6",0.31662768984707,0.510408767123288
"bin_7",0.268587560233754,0.510367816091954
"bin_8",0.208859171047172,0.512020066889632
"bin_9",0.075448477383409,0.55493387755102
"bin_10",0.0409852915018248,0.688361481481481
"bin_11",0.0267354678443279,0.7169
"bin_12",0.0188204802649738,0.739125714285714
"bin_13",0.014536284846812,0.741626666666667
"bin_14",0.0102375931548441,0.7245
"bin_15",0.0074379795749379,0.59884
