"cell","flow","bin","recruit_q","recruit"
61,1000,"bin_1","0.512584","0.588312335193964"
62,1000,"bin_1","0.512584","0.588312335193964"
63,1000,"bin_1","0.512584","0.588312335193964"
64,1000,"bin_1","0.512584","0.588312335193964"
65,1000,"bin_1","0.512584","0.588312335193964"
66,1000,"bin_1","0.512584","0.588312335193964"
68,1000,"bin_1","0.512584","0.588312335193964"
71,1000,"bin_1","0.512584","0.588312335193964"
72,4000,"bin_7","0.635789090909091","0.0617937561358728"
73,1500,"bin_2","0.601444285714286","0.330359695885108"
74,1500,"bin_2","0.601444285714286","0.330359695885108"
75,1500,"bin_2","0.601444285714286","0.330359695885108"
76,1000,"bin_1","0.512584","0.588312335193964"
77,1000,"bin_1","0.512584","0.588312335193964"
78,1000,"bin_1","0.512584","0.588312335193964"
89,1500,"bin_2","0.601444285714286","0.330359695885108"
90,2000,"bin_3","0.719272727272727","0.21994335833497"
95,1000,"bin_1","0.512584","0.588312335193964"
96,1000,"bin_1","0.512584","0.588312335193964"
97,1000,"bin_1","0.512584","0.588312335193964"
98,1000,"bin_1","0.512584","0.588312335193964"
99,1000,"bin_1","0.512584","0.588312335193964"
100,1500,"bin_2","0.601444285714286","0.330359695885108"
101,1500,"bin_2","0.601444285714286","0.330359695885108"
103,2000,"bin_3","0.719272727272727","0.21994335833497"
104,1500,"bin_2","0.601444285714286","0.330359695885108"
105,1500,"bin_2","0.601444285714286","0.330359695885108"
106,1000,"bin_1","0.512584","0.588312335193964"
109,1000,"bin_1","0.512584","0.588312335193964"
110,1000,"bin_1","0.512584","0.588312335193964"
111,1000,"bin_1","0.512584","0.588312335193964"
112,2000,"bin_3","0.719272727272727","0.21994335833497"
113,1500,"bin_2","0.601444285714286","0.330359695885108"
114,1500,"bin_2","0.601444285714286","0.330359695885108"
115,2000,"bin_3","0.719272727272727","0.21994335833497"
116,2000,"bin_3","0.719272727272727","0.21994335833497"
117,1000,"bin_1","0.512584","0.588312335193964"
118,1000,"bin_1","0.512584","0.588312335193964"
119,1000,"bin_1","0.512584","0.588312335193964"
130,1500,"bin_2","0.601444285714286","0.330359695885108"
131,2000,"bin_3","0.719272727272727","0.21994335833497"
132,2000,"bin_3","0.719272727272727","0.21994335833497"
135,1000,"bin_1","0.512584","0.588312335193964"
137,1000,"bin_1","0.512584","0.588312335193964"
138,1000,"bin_1","0.512584","0.588312335193964"
139,1000,"bin_1","0.512584","0.588312335193964"
140,1000,"bin_1","0.512584","0.588312335193964"
141,1000,"bin_1","0.512584","0.588312335193964"
142,1500,"bin_2","0.601444285714286","0.330359695885108"
143,1500,"bin_2","0.601444285714286","0.330359695885108"
144,2000,"bin_3","0.719272727272727","0.21994335833497"
145,2000,"bin_3","0.719272727272727","0.21994335833497"
146,1500,"bin_2","0.601444285714286","0.330359695885108"
147,1500,"bin_2","0.601444285714286","0.330359695885108"
151,1000,"bin_1","0.512584","0.588312335193964"
152,1000,"bin_1","0.512584","0.588312335193964"
153,1000,"bin_1","0.512584","0.588312335193964"
154,1000,"bin_1","0.512584","0.588312335193964"
155,1500,"bin_2","0.601444285714286","0.330359695885108"
156,1500,"bin_2","0.601444285714286","0.330359695885108"
157,1500,"bin_2","0.601444285714286","0.330359695885108"
158,2000,"bin_3","0.719272727272727","0.21994335833497"
159,2000,"bin_3","0.719272727272727","0.21994335833497"
160,2000,"bin_3","0.719272727272727","0.21994335833497"
161,1000,"bin_1","0.512584","0.588312335193964"
162,1000,"bin_1","0.512584","0.588312335193964"
163,1000,"bin_1","0.512584","0.588312335193964"
174,2000,"bin_3","0.719272727272727","0.21994335833497"
175,2000,"bin_3","0.719272727272727","0.21994335833497"
176,2000,"bin_3","0.719272727272727","0.21994335833497"
177,2000,"bin_3","0.719272727272727","0.21994335833497"
178,2000,"bin_3","0.719272727272727","0.21994335833497"
179,2000,"bin_3","0.719272727272727","0.21994335833497"
180,3000,"bin_5","0.74058","0.11781596779894"
181,1000,"bin_1","0.512584","0.588312335193964"
182,1000,"bin_1","0.512584","0.588312335193964"
183,1000,"bin_1","0.512584","0.588312335193964"
184,1000,"bin_1","0.512584","0.588312335193964"
185,1000,"bin_1","0.512584","0.588312335193964"
186,1000,"bin_1","0.512584","0.588312335193964"
187,1000,"bin_1","0.512584","0.588312335193964"
188,2000,"bin_3","0.719272727272727","0.21994335833497"
189,1500,"bin_2","0.601444285714286","0.330359695885108"
190,1500,"bin_2","0.601444285714286","0.330359695885108"
191,1500,"bin_2","0.601444285714286","0.330359695885108"
192,1500,"bin_2","0.601444285714286","0.330359695885108"
194,2000,"bin_3","0.719272727272727","0.21994335833497"
195,1500,"bin_2","0.601444285714286","0.330359695885108"
199,1000,"bin_1","0.512584","0.588312335193964"
200,1000,"bin_1","0.512584","0.588312335193964"
201,1000,"bin_1","0.512584","0.588312335193964"
202,4000,"bin_7","0.635789090909091","0.0617937561358728"
203,1000,"bin_1","0.512584","0.588312335193964"
204,2000,"bin_3","0.719272727272727","0.21994335833497"
205,1500,"bin_2","0.601444285714286","0.330359695885108"
206,1500,"bin_2","0.601444285714286","0.330359695885108"
207,2000,"bin_3","0.719272727272727","0.21994335833497"
208,2000,"bin_3","0.719272727272727","0.21994335833497"
209,2000,"bin_3","0.719272727272727","0.21994335833497"
210,2000,"bin_3","0.719272727272727","0.21994335833497"
211,2000,"bin_3","0.719272727272727","0.21994335833497"
212,1000,"bin_1","0.512584","0.588312335193964"
224,1000,"bin_1","0.512584","0.588312335193964"
225,1000,"bin_1","0.512584","0.588312335193964"
226,2000,"bin_3","0.719272727272727","0.21994335833497"
227,2000,"bin_3","0.719272727272727","0.21994335833497"
228,2000,"bin_3","0.719272727272727","0.21994335833497"
229,2000,"bin_3","0.719272727272727","0.21994335833497"
230,2000,"bin_3","0.719272727272727","0.21994335833497"
231,2000,"bin_3","0.719272727272727","0.21994335833497"
232,2000,"bin_3","0.719272727272727","0.21994335833497"
233,2000,"bin_3","0.719272727272727","0.21994335833497"
234,2000,"bin_3","0.719272727272727","0.21994335833497"
235,2000,"bin_3","0.719272727272727","0.21994335833497"
236,1500,"bin_2","0.601444285714286","0.330359695885108"
237,1000,"bin_1","0.512584","0.588312335193964"
238,1000,"bin_1","0.512584","0.588312335193964"
239,1000,"bin_1","0.512584","0.588312335193964"
240,1000,"bin_1","0.512584","0.588312335193964"
241,1000,"bin_1","0.512584","0.588312335193964"
242,4000,"bin_7","0.635789090909091","0.0617937561358728"
243,1000,"bin_1","0.512584","0.588312335193964"
246,1500,"bin_2","0.601444285714286","0.330359695885108"
247,1500,"bin_2","0.601444285714286","0.330359695885108"
248,1500,"bin_2","0.601444285714286","0.330359695885108"
249,1500,"bin_2","0.601444285714286","0.330359695885108"
250,2000,"bin_3","0.719272727272727","0.21994335833497"
251,2000,"bin_3","0.719272727272727","0.21994335833497"
255,1000,"bin_1","0.512584","0.588312335193964"
256,1000,"bin_1","0.512584","0.588312335193964"
257,1000,"bin_1","0.512584","0.588312335193964"
258,1000,"bin_1","0.512584","0.588312335193964"
260,1000,"bin_1","0.512584","0.588312335193964"
261,1500,"bin_2","0.601444285714286","0.330359695885108"
262,1000,"bin_1","0.512584","0.588312335193964"
263,1000,"bin_1","0.512584","0.588312335193964"
264,1000,"bin_1","0.512584","0.588312335193964"
265,2000,"bin_3","0.719272727272727","0.21994335833497"
266,1000,"bin_1","0.512584","0.588312335193964"
267,2000,"bin_3","0.719272727272727","0.21994335833497"
268,2000,"bin_3","0.719272727272727","0.21994335833497"
269,1000,"bin_1","0.512584","0.588312335193964"
270,1000,"bin_1","0.512584","0.588312335193964"
271,1000,"bin_1","0.512584","0.588312335193964"
272,2000,"bin_3","0.719272727272727","0.21994335833497"
273,1500,"bin_2","0.601444285714286","0.330359695885108"
274,2000,"bin_3","0.719272727272727","0.21994335833497"
275,2000,"bin_3","0.719272727272727","0.21994335833497"
276,2000,"bin_3","0.719272727272727","0.21994335833497"
277,4000,"bin_7","0.635789090909091","0.0617937561358728"
289,1000,"bin_1","0.512584","0.588312335193964"
290,1000,"bin_1","0.512584","0.588312335193964"
291,1000,"bin_1","0.512584","0.588312335193964"
292,2000,"bin_3","0.719272727272727","0.21994335833497"
293,2500,"bin_4","0.74145","0.156249661103475"
294,2000,"bin_3","0.719272727272727","0.21994335833497"
295,2500,"bin_4","0.74145","0.156249661103475"
296,2000,"bin_3","0.719272727272727","0.21994335833497"
297,2500,"bin_4","0.74145","0.156249661103475"
298,2500,"bin_4","0.74145","0.156249661103475"
299,3000,"bin_5","0.74058","0.11781596779894"
300,1000,"bin_1","0.512584","0.588312335193964"
301,2000,"bin_3","0.719272727272727","0.21994335833497"
302,2000,"bin_3","0.719272727272727","0.21994335833497"
303,2000,"bin_3","0.719272727272727","0.21994335833497"
304,2000,"bin_3","0.719272727272727","0.21994335833497"
305,2000,"bin_3","0.719272727272727","0.21994335833497"
306,2000,"bin_3","0.719272727272727","0.21994335833497"
307,1000,"bin_1","0.512584","0.588312335193964"
308,1000,"bin_1","0.512584","0.588312335193964"
309,1000,"bin_1","0.512584","0.588312335193964"
310,1000,"bin_1","0.512584","0.588312335193964"
311,1000,"bin_1","0.512584","0.588312335193964"
312,1000,"bin_1","0.512584","0.588312335193964"
313,1000,"bin_1","0.512584","0.588312335193964"
314,1000,"bin_1","0.512584","0.588312335193964"
318,1500,"bin_2","0.601444285714286","0.330359695885108"
319,1500,"bin_2","0.601444285714286","0.330359695885108"
320,1500,"bin_2","0.601444285714286","0.330359695885108"
321,2000,"bin_3","0.719272727272727","0.21994335833497"
322,2000,"bin_3","0.719272727272727","0.21994335833497"
323,1500,"bin_2","0.601444285714286","0.330359695885108"
324,1500,"bin_2","0.601444285714286","0.330359695885108"
325,1500,"bin_2","0.601444285714286","0.330359695885108"
328,1000,"bin_1","0.512584","0.588312335193964"
329,1000,"bin_1","0.512584","0.588312335193964"
330,1000,"bin_1","0.512584","0.588312335193964"
331,1000,"bin_1","0.512584","0.588312335193964"
332,1000,"bin_1","0.512584","0.588312335193964"
333,2500,"bin_4","0.74145","0.156249661103475"
334,1000,"bin_1","0.512584","0.588312335193964"
335,1000,"bin_1","0.512584","0.588312335193964"
336,1000,"bin_1","0.512584","0.588312335193964"
337,1000,"bin_1","0.512584","0.588312335193964"
338,1000,"bin_1","0.512584","0.588312335193964"
339,2000,"bin_3","0.719272727272727","0.21994335833497"
340,1000,"bin_1","0.512584","0.588312335193964"
341,1500,"bin_2","0.601444285714286","0.330359695885108"
342,2000,"bin_3","0.719272727272727","0.21994335833497"
343,1000,"bin_1","0.512584","0.588312335193964"
344,1000,"bin_1","0.512584","0.588312335193964"
345,1000,"bin_1","0.512584","0.588312335193964"
346,1000,"bin_1","0.512584","0.588312335193964"
347,2000,"bin_3","0.719272727272727","0.21994335833497"
348,2000,"bin_3","0.719272727272727","0.21994335833497"
349,2000,"bin_3","0.719272727272727","0.21994335833497"
350,3000,"bin_5","0.74058","0.11781596779894"
351,2000,"bin_3","0.719272727272727","0.21994335833497"
352,2500,"bin_4","0.74145","0.156249661103475"
353,2500,"bin_4","0.74145","0.156249661103475"
367,1000,"bin_1","0.512584","0.588312335193964"
368,1000,"bin_1","0.512584","0.588312335193964"
369,1500,"bin_2","0.601444285714286","0.330359695885108"
370,2000,"bin_3","0.719272727272727","0.21994335833497"
371,3000,"bin_5","0.74058","0.11781596779894"
