"cell","flow","bin","recruit_q","recruit"
2,200,"bin_1","0.511482929936306","blah"
3,200,"bin_1","0.511482929936306","blah"
4,200,"bin_1","0.511482929936306","blah"
5,200,"bin_1","0.511482929936306","blah"
6,200,"bin_1","0.511482929936306","blah"
7,200,"bin_1","0.511482929936306","blah"
8,200,"bin_1","0.511482929936306","blah"
9,1000,"bin_9","0.556895384615385","0.0762274850263891"
10,200,"bin_1","0.511482929936306","blah"
11,200,"bin_1","0.511482929936306","blah"
12,200,"bin_1","0.511482929936306","blah"
13,200,"bin_1","0.511482929936306","blah"
14,200,"bin_1","0.511482929936306","blah"
17,1500,"bin_10","0.695418461538462","0.0416647857295998"
18,200,"bin_1","0.511482929936306","blah"
19,500,"bin_8","0.511894166666667","0.210318856054252"
20,1000,"bin_9","0.556895384615385","0.0762274850263891"
21,1000,"bin_9","0.556895384615385","0.0762274850263891"
23,400,"bin_7","0.510820162601626","0.26787002338119"
24,350,"bin_6","0.509367323943662","0.317567869636806"
25,200,"bin_1","0.511482929936306","blah"
26,200,"bin_1","0.511482929936306","blah"
27,200,"bin_1","0.511482929936306","blah"
28,200,"bin_1","0.511482929936306","blah"
29,200,"bin_1","0.511482929936306","blah"
35,200,"bin_1","0.511482929936306","blah"
36,200,"bin_1","0.511482929936306","blah"
37,200,"bin_1","0.511482929936306","blah"
38,500,"bin_8","0.511894166666667","0.210318856054252"
39,225,"bin_2","0.51063295154185","0.475315418396804"
40,300,"bin_5","0.510869953488372","0.364984370771315"
41,1000,"bin_9","0.556895384615385","0.0762274850263891"
42,350,"bin_6","0.509367323943662","0.317567869636806"
43,350,"bin_6","0.509367323943662","0.317567869636806"
44,350,"bin_6","0.509367323943662","0.317567869636806"
45,1000,"bin_9","0.556895384615385","0.0762274850263891"
46,200,"bin_1","0.511482929936306","blah"
47,200,"bin_1","0.511482929936306","blah"
48,200,"bin_1","0.511482929936306","blah"
49,200,"bin_1","0.511482929936306","blah"
50,200,"bin_1","0.511482929936306","blah"
51,200,"bin_1","0.511482929936306","blah"
52,200,"bin_1","0.511482929936306","blah"
53,1000,"bin_9","0.556895384615385","0.0762274850263891"
54,1000,"bin_9","0.556895384615385","0.0762274850263891"
55,1000,"bin_9","0.556895384615385","0.0762274850263891"
56,1000,"bin_9","0.556895384615385","0.0762274850263891"
63,200,"bin_1","0.511482929936306","blah"
64,200,"bin_1","0.511482929936306","blah"
69,500,"bin_8","0.511894166666667","0.210318856054252"
70,500,"bin_8","0.511894166666667","0.210318856054252"
71,1000,"bin_9","0.556895384615385","0.0762274850263891"
72,1000,"bin_9","0.556895384615385","0.0762274850263891"
73,200,"bin_1","0.511482929936306","blah"
74,400,"bin_7","0.510820162601626","0.26787002338119"
75,400,"bin_7","0.510820162601626","0.26787002338119"
80,400,"bin_7","0.510820162601626","0.26787002338119"
81,200,"bin_1","0.511482929936306","blah"
82,200,"bin_1","0.511482929936306","blah"
83,200,"bin_1","0.511482929936306","blah"
84,250,"bin_3","0.511149813664596","0.434344868468788"
85,200,"bin_1","0.511482929936306","blah"
91,200,"bin_1","0.511482929936306","blah"
92,200,"bin_1","0.511482929936306","blah"
93,200,"bin_1","0.511482929936306","blah"
94,1000,"bin_9","0.556895384615385","0.0762274850263891"
95,1000,"bin_9","0.556895384615385","0.0762274850263891"
96,1000,"bin_9","0.556895384615385","0.0762274850263891"
97,1000,"bin_9","0.556895384615385","0.0762274850263891"
98,1000,"bin_9","0.556895384615385","0.0762274850263891"
99,1000,"bin_9","0.556895384615385","0.0762274850263891"
100,1000,"bin_9","0.556895384615385","0.0762274850263891"
123,200,"bin_1","0.511482929936306","blah"
124,200,"bin_1","0.511482929936306","blah"
125,200,"bin_1","0.511482929936306","blah"
129,200,"bin_1","0.511482929936306","blah"
133,1000,"bin_9","0.556895384615385","0.0762274850263891"
134,1000,"bin_9","0.556895384615385","0.0762274850263891"
135,200,"bin_1","0.511482929936306","blah"
136,200,"bin_1","0.511482929936306","blah"
137,200,"bin_1","0.511482929936306","blah"
138,200,"bin_1","0.511482929936306","blah"
139,200,"bin_1","0.511482929936306","blah"
140,200,"bin_1","0.511482929936306","blah"
141,200,"bin_1","0.511482929936306","blah"
142,200,"bin_1","0.511482929936306","blah"
143,200,"bin_1","0.511482929936306","blah"
144,200,"bin_1","0.511482929936306","blah"
145,400,"bin_7","0.510820162601626","0.26787002338119"
146,200,"bin_1","0.511482929936306","blah"
147,200,"bin_1","0.511482929936306","blah"
148,200,"bin_1","0.511482929936306","blah"
149,200,"bin_1","0.511482929936306","blah"
150,200,"bin_1","0.511482929936306","blah"
151,200,"bin_1","0.511482929936306","blah"
152,200,"bin_1","0.511482929936306","blah"
153,200,"bin_1","0.511482929936306","blah"
154,200,"bin_1","0.511482929936306","blah"
155,200,"bin_1","0.511482929936306","blah"
156,1000,"bin_9","0.556895384615385","0.0762274850263891"
157,1000,"bin_9","0.556895384615385","0.0762274850263891"
158,1000,"bin_9","0.556895384615385","0.0762274850263891"
159,1500,"bin_10","0.695418461538462","0.0416647857295998"
160,1500,"bin_10","0.695418461538462","0.0416647857295998"
161,1500,"bin_10","0.695418461538462","0.0416647857295998"
163,1500,"bin_10","0.695418461538462","0.0416647857295998"
164,1000,"bin_9","0.556895384615385","0.0762274850263891"
172,1500,"bin_10","0.695418461538462","0.0416647857295998"
190,1000,"bin_9","0.556895384615385","0.0762274850263891"
191,400,"bin_7","0.510820162601626","0.26787002338119"
192,250,"bin_3","0.511149813664596","0.434344868468788"
193,200,"bin_1","0.511482929936306","blah"
