"cell","flow","bin","recruit"
115,2500,"bin_4",0.7409
116,4000,"bin_7",0.636992727272727
142,4000,"bin_7",0.636992727272727
143,1500,"bin_2",0.60272
144,1000,"bin_1",0.512105454545455
145,1000,"bin_1",0.512105454545455
146,2000,"bin_3",0.71788
147,1000,"bin_1",0.512105454545455
148,1000,"bin_1",0.512105454545455
149,1000,"bin_1",0.512105454545455
150,1000,"bin_1",0.512105454545455
151,1000,"bin_1",0.512105454545455
174,1000,"bin_1",0.512105454545455
175,1000,"bin_1",0.512105454545455
176,1000,"bin_1",0.512105454545455
177,1000,"bin_1",0.512105454545455
178,1000,"bin_1",0.512105454545455
179,1000,"bin_1",0.512105454545455
180,1000,"bin_1",0.512105454545455
181,1000,"bin_1",0.512105454545455
182,1000,"bin_1",0.512105454545455
183,1000,"bin_1",0.512105454545455
184,1000,"bin_1",0.512105454545455
185,1000,"bin_1",0.512105454545455
186,1000,"bin_1",0.512105454545455
187,1000,"bin_1",0.512105454545455
188,1000,"bin_1",0.512105454545455
189,1000,"bin_1",0.512105454545455
190,1000,"bin_1",0.512105454545455
191,1000,"bin_1",0.512105454545455
192,1000,"bin_1",0.512105454545455
193,1000,"bin_1",0.512105454545455
194,2500,"bin_4",0.7409
215,1000,"bin_1",0.512105454545455
217,1000,"bin_1",0.512105454545455
218,1000,"bin_1",0.512105454545455
219,1000,"bin_1",0.512105454545455
220,1000,"bin_1",0.512105454545455
221,1000,"bin_1",0.512105454545455
222,1000,"bin_1",0.512105454545455
223,1000,"bin_1",0.512105454545455
224,1000,"bin_1",0.512105454545455
225,1000,"bin_1",0.512105454545455
226,1000,"bin_1",0.512105454545455
227,1000,"bin_1",0.512105454545455
228,1000,"bin_1",0.512105454545455
229,1000,"bin_1",0.512105454545455
230,1000,"bin_1",0.512105454545455
231,1000,"bin_1",0.512105454545455
232,1000,"bin_1",0.512105454545455
233,1000,"bin_1",0.512105454545455
234,1000,"bin_1",0.512105454545455
235,4000,"bin_7",0.636992727272727
236,1000,"bin_1",0.512105454545455
237,1000,"bin_1",0.512105454545455
238,1000,"bin_1",0.512105454545455
239,1000,"bin_1",0.512105454545455
261,1000,"bin_1",0.512105454545455
262,1000,"bin_1",0.512105454545455
263,1000,"bin_1",0.512105454545455
264,1000,"bin_1",0.512105454545455
265,1000,"bin_1",0.512105454545455
266,1000,"bin_1",0.512105454545455
267,1000,"bin_1",0.512105454545455
268,1000,"bin_1",0.512105454545455
269,1000,"bin_1",0.512105454545455
270,1000,"bin_1",0.512105454545455
271,1000,"bin_1",0.512105454545455
272,1000,"bin_1",0.512105454545455
273,1000,"bin_1",0.512105454545455
274,1000,"bin_1",0.512105454545455
275,1000,"bin_1",0.512105454545455
276,1000,"bin_1",0.512105454545455
277,1000,"bin_1",0.512105454545455
278,1000,"bin_1",0.512105454545455
279,1000,"bin_1",0.512105454545455
280,4000,"bin_7",0.636992727272727
281,2500,"bin_4",0.7409
284,1000,"bin_1",0.512105454545455
285,1000,"bin_1",0.512105454545455
286,1000,"bin_1",0.512105454545455
287,1000,"bin_1",0.512105454545455
308,4000,"bin_7",0.636992727272727
310,1000,"bin_1",0.512105454545455
311,1000,"bin_1",0.512105454545455
312,1000,"bin_1",0.512105454545455
313,1000,"bin_1",0.512105454545455
314,1000,"bin_1",0.512105454545455
315,1000,"bin_1",0.512105454545455
316,1000,"bin_1",0.512105454545455
317,1000,"bin_1",0.512105454545455
318,1000,"bin_1",0.512105454545455
319,1000,"bin_1",0.512105454545455
320,1000,"bin_1",0.512105454545455
321,1000,"bin_1",0.512105454545455
322,1000,"bin_1",0.512105454545455
323,1000,"bin_1",0.512105454545455
324,1500,"bin_2",0.60272
325,1500,"bin_2",0.60272
326,1500,"bin_2",0.60272
327,1500,"bin_2",0.60272
328,1500,"bin_2",0.60272
329,4000,"bin_7",0.636992727272727
330,3000,"bin_5",0.73986
331,2000,"bin_3",0.71788
332,4000,"bin_7",0.636992727272727
333,4000,"bin_7",0.636992727272727
335,1000,"bin_1",0.512105454545455
336,1000,"bin_1",0.512105454545455
337,1000,"bin_1",0.512105454545455
338,1000,"bin_1",0.512105454545455
359,1000,"bin_1",0.512105454545455
360,1000,"bin_1",0.512105454545455
361,1000,"bin_1",0.512105454545455
362,1000,"bin_1",0.512105454545455
363,1000,"bin_1",0.512105454545455
364,1000,"bin_1",0.512105454545455
365,1000,"bin_1",0.512105454545455
366,1000,"bin_1",0.512105454545455
367,1000,"bin_1",0.512105454545455
368,1000,"bin_1",0.512105454545455
369,1000,"bin_1",0.512105454545455
370,1000,"bin_1",0.512105454545455
371,1500,"bin_2",0.60272
372,1500,"bin_2",0.60272
373,1000,"bin_1",0.512105454545455
374,2000,"bin_3",0.71788
375,2000,"bin_3",0.71788
376,1500,"bin_2",0.60272
377,1500,"bin_2",0.60272
378,1500,"bin_2",0.60272
379,1500,"bin_2",0.60272
380,3000,"bin_5",0.73986
381,3000,"bin_5",0.73986
382,3000,"bin_5",0.73986
383,2000,"bin_3",0.71788
384,4000,"bin_7",0.636992727272727
385,4000,"bin_7",0.636992727272727
386,4000,"bin_7",0.636992727272727
387,1000,"bin_1",0.512105454545455
388,1000,"bin_1",0.512105454545455
389,1000,"bin_1",0.512105454545455
390,1000,"bin_1",0.512105454545455
405,4000,"bin_7",0.636992727272727
406,1000,"bin_1",0.512105454545455
407,4000,"bin_7",0.636992727272727
410,1000,"bin_1",0.512105454545455
411,1000,"bin_1",0.512105454545455
412,1000,"bin_1",0.512105454545455
413,1000,"bin_1",0.512105454545455
414,1000,"bin_1",0.512105454545455
415,1000,"bin_1",0.512105454545455
416,1000,"bin_1",0.512105454545455
417,1000,"bin_1",0.512105454545455
418,1000,"bin_1",0.512105454545455
419,1000,"bin_1",0.512105454545455
420,2000,"bin_3",0.71788
421,1500,"bin_2",0.60272
422,1500,"bin_2",0.60272
423,3000,"bin_5",0.73986
424,2000,"bin_3",0.71788
425,2500,"bin_4",0.7409
426,4000,"bin_7",0.636992727272727
427,3000,"bin_5",0.73986
428,1500,"bin_2",0.60272
429,2000,"bin_3",0.71788
430,1500,"bin_2",0.60272
431,4000,"bin_7",0.636992727272727
432,4000,"bin_7",0.636992727272727
433,3000,"bin_5",0.73986
434,3000,"bin_5",0.73986
435,3000,"bin_5",0.73986
436,4000,"bin_7",0.636992727272727
437,4000,"bin_7",0.636992727272727
