"","cell","natural","current_operations","combined_operations","combined_operations_AWSA","x","y","z"
"1",2,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507646,737894,4611
"2",3,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507646,737905,4610
"3",4,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507656,737888,4611
"4",5,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507668,737895,4611
"5",6,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507646,737882,4610
"6",7,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507636,737893,4610
"7",8,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507636,737910,4610
"8",9,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507602,737799,4609
"9",10,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507657,737874,4609
"10",11,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507668,737882,4609
"11",12,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507680,737889,4608
"12",13,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507646,737868,4610
"13",14,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507631,737837,4610
"14",16,0.105850771789754,0.113693684665227,0.104817847214662,0.104746432589367,2507614,737822,4609
"15",17,0.321790004916276,0.342311007320973,0.322106332063146,0.323460663867071,2507608,737811,4609
"16",18,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507550,737734,4608
"17",19,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507561,737743,4607
"18",20,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507572,737751,4608
"19",21,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507595,737786,4609
"20",22,0.200218086683775,0.215637403494993,0.199017948829613,0.199154675843119,2507593,737803,4609
"21",23,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507582,737761,4608
"22",24,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507589,737774,4608
"23",25,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507539,737725,4607
